Chapter,Question,marks,blooms level,,,,,,,,
1,"Read Turing’s original paper on AI (Turing, 1950). In the paper, he discusses several
objections to his proposed enterprise and his test for intelligence. Which objections still carry
weight? Are his refutations valid? Can you think of new objections arising from developments
since he wrote the paper? In the paper, he predicts that, by the year 2000, a computer
will have a 30% chance of passing a five-minute Turing Test with an unskilled interrogator.
What chance do you think a computer would have today? In another 50 years",2,4,,,,,,,,
1,"1.1 Define in your own words: (a) intelligence, (b) artificial intelligence, (c) agent, (d)
rationality, (e) logical reasoning",4,1,,,,,,,,
1,Are reflex actions (such as flinching from a hot stove) rational? Are they intelligent?,3,2,,,,,,,,
1,"The neural structure of the sea slug Aplysia has been widely studied (first by Nobel
Laureate Eric Kandel) because it has only about 20,000 neurons, most of them large and
easily manipulated. Assuming that the cycle time for an Aplysia neuron is roughly the same
as for a human neuron, how does the computational power, in terms of memory updates per
second, compare with the high-end computer described in Figure 1.3?",4,5,,,,,,,,
1,"How could introspection—reporting on one’s inner thoughts—be inaccurate? Could I
be wrong about what I’m thinking? Discuss.",3,6,,,,,,,,
1,"To what extent are the following computer systems instances of artificial intelligence:
• Supermarket bar code scanners.
• Web search engines.
• Voice-activated telephone menus.
• Internet routing algorithms that respond dynamically to the state of the network",4,2,,,,,,,,
1,"Is AI a science, or is it engineering? Or neither or both? Explain.",6,2,,,,,,,,
2,"Suppose that the performance measure is concerned with just the first T time steps of
the environment and ignores everything thereafter. Show that a rational agent’s action may
depend not just on the state of the environment but also on the time step it has reached",4,2,,,,,,,,
2,"For each of the following assertions, say whether it is true or false and support your
answer with examples or counterexamples where appropriate.
a. An agent that senses only partial information about the state cannot be perfectly rational.
62 Chapter 2. Intelligent Agents
b. There exist task environments in which no pure reflex agent can behave rationally.
c. There exists a task environment in which every agent is rational.
d. The input to an agent program is the same as the input to the agent function.
e. Every agent function is implementable by some program/machine combination.
f. Suppose an agent selects its action uniformly at random from the set of possible actions.
There exists a deterministic task environment in which this agent is rational.
g. It is possible for a given agent to be perfectly rational in two distinct task environments.
h. Every agent is rational in an unobservable environment.
i. A perfectly rational poker-playing agent never loses.",10,2,,,,,,,,
2,"Let us examine the rationality of various vacuum-cleaner agent functions.
a. Show that the simple vacuum-cleaner agent function described in Figure 2.3 is indeed
rational under the assumptions listed on page 38.
b. Describe a rational agent function for the case in which each movement costs one point.
Does the corresponding agent program require internal state?
c. Discuss possible agent designs for the cases in which clean squares can become dirty
and the geography of the environment is unknown. Does it make sense for the agent to
learn from its experience in these cases? If so, what should it learn? If not, why not?",5,4,,,,,,,,
2," Implement a performance-measuring environment simulator for the vacuum-cleaner world depicted in Figure2.2 andspeci?ed on page 38. Youri mplementation should be modularso that the sensors, actuators, and environment characteristics (size, shape, dirt placement, etc.) can be changed easily. (Note: for some choices of programming language and operating system there are already implementations in the online code repository.) ",4,6,,,,,,,,
2, Implement a simple re?ex agent for the vacuum environment in Exercise 2.8. Run the environment with this agent for all possible initial dirt con?gurations and agent locations. Record the performance score for each con?guration and the overall average score,5,6,,,,,,,,
2," De?ne in your own words the following terms: agent, agent function, agent program, rationality, autonomy, re?ex agent, model-based agent, goal-based agent, utility-based agent, learning agent",4,1,,,,,,,,
3,Explain why problem formulation must follow goal formulation. ,3,2,,,,,,,,
3,"Yourgoal is to navigate a robot out of a maze. The robot starts in the center of the maze
Exercises 113
facing north. You can turn the robot to face north, east, south, or west. You can direct the robot to move forward a certain distance, although it will stop before hitting a wall. a. Formulate this problem. How large is the state space? b. In navigating a maze, the only place we need to turn is at the intersection of two or more corridors. Reformulate this problem using this observation. How large is the state space now? c. Fromeach point in the maze, we can move in any of the four directions until we reach a turning point, and this is the only action we need to do. Reformulate the problem using these actions. Do we need to keep track of the robot’s orientation now? d. In our initial description of the problem we already abstracted from the real world, restricting actions and removing details. List three such simpli?cations we made",5,6,,,,,,,,
